x1,log(log(fib primes)),x2,ln(fibPrime Indices),x3,log(fib prime indices),x4,fib_indices_rate_of_change,x5,lucas primes,log(log(lucas_primes)),x6,index,ln(index),log(index),ln(ln(index)),ln(ln(ln(index))),loga(index),loga(loga(index)),loga(loga(loga(index))),loga(loga(loga(loga(index)))),x7,Fib primes,Diff between Fib Primes,log(differences),log(log(differences)),x8,lucas primes,difference between LPs,log(differences1),log(log(differences1))
15,1.873187315,15,5.883322388,15,2.555094449,15,222,15,6643838879,0.99221846,,,,,,,,,,,15,4.75E+74,4.75E+74,74.67707785,1.873187315,15,6643838879,6273590428,9.797516162,0.991115989
16,1.951896788,16,6.06610809,16,2.63447727,16,72,16,1.19E+11,1.044396472,,,,,,,,,,,16,3.27E+89,3.27E+89,89.51520031,1.951896788,16,1.19219E+11,1.12575E+11,11.051442,1.043418949
17,1.953919929,17,6.070737728,17,2.636487896,17,2,17,5.60E+12,1.105450437,,,,,,,,,,,17,8.57E+89,5.30E+89,89.72418795,1.952909536,17,5.60075E+12,5.48153E+12,12.73890175,1.105131988
18,1.969774467,18,6.107022888,18,2.652246341,18,16,18,6.89E+14,1.171378951,,,,,,,,,,,18,1.89E+93,1.89E+93,93.276781,1.96977355,18,6.88847E+14,6.83246E+14,14.83457694,1.171275165
19,2.025409198,19,6.232448017,19,2.706717782,19,60,19,3.24E+16,1.217747694,,,,,,,,,,,19,1.06E+106,1.06E+106,106.0252239,2.025409198,19,3.23611E+16,3.16723E+16,16.50067928,1.217501823
20,2.073954609,20,6.343880434,20,2.755112266,20,60,20,4.13E+23,1.373199046,,,,,,,,,,,20,3.67E+118,3.67E+118,118.5644823,2.073954609,20,4.1267E+23,4.1267E+23,23.61560331,1.373199045
21,2.075482935,21,6.34738921,21,2.756636108,21,2,21,2.59E+65,1.81566494,,,,,,,,,,,21,9.60E+118,5.94E+118,118.7734699,2.074719444,21,2.589E+65,2.589E+65,65.4131314,1.81566494
,,22,7.996653875,22,3.472902652,22,2400,,,,,,,,,,,,,,,,,,,22,5.92E+73,5.9243E+73,73.77263701,1.867895308
,,23,8.46019947,23,3.674217946,23,1752,,,,,,,,,,,,,,,,,,,23,1.32E+105,1.3206E+105,105.120783,2.021688587
,,24,8.591743923,24,3.731346976,24,664,,,,,,,,,,,,,,,,,,,24,1.29E+128,1.2865E+128,128.1094235,2.107581077
,,25,9.138951776,25,3.968996327,25,3924,,,,,,,,,,,,,,,,,,,25,8.82E+128,7.5315E+128,128.8768838,2.110175026
,,26,9.177507215,26,3.985740741,26,366,,,,,,,,,,,,,,,,,,,26,2.27E+180,2.2716E+180,180.3563335,2.256131398
,,27,9.577133949,27,4.159296427,27,4754,,,,,,,,,,,,,,,,,,,,,,,
,,28,10.14882303,28,4.40757784,28,11130,,,,,,,,,,,,,,,,,,,,,,,
,,29,10.33387289,29,4.487943973,29,5196,,,,,,,,,,,,,,,,,,,,,,,
,,30,10.49124644,30,4.556290437,30,5242,,,,,,,,,,,,,,,,,,,,,,,
,,31,10.5323895,31,4.574158642,31,1512,,,,,,,,,,,,,,,,,,,,,,,
,,32,10.83630103,32,4.706145741,32,13322,,,,,,,,,,,,,,,,,,,,,,,
,,33,11.31250918,33,4.912960314,33,31006,,,,,,,,,,,,,,,,,,,,,,,
,,34,11.56086765,34,5.020821027,34,23072,,,,,,,,,,,,,,,,,,,,,,,
,,35,11.77545125,35,5.114013502,35,25110,,,,,,,,,,,,,,,,,,,,,,,
,,36,11.90558223,36,5.170528666,36,18070,,,,,,,,,,,,,,,,,,,,,,,
,,37,12.21159238,37,5.303427187,37,53016,,,,,,,,,,,,,,,,,,,,,,,
,,38,12.89264576,38,5.599204913,38,196272,,,,,,,,,,,,,,,,,,,,,,,
,,39,12.98029508,39,5.637270526,39,36402,,,,,,,,,,,,,,,,,,,,,,,
,,40,13.2879473,40,5.77088219,40,156260,,,,,,,,,,,,,,,,,,,,,,,
,,41,13.29411089,41,5.773559002,41,3648,,,,,,,,,,,,,,,,,,,,,,,
,,42,13.31250594,42,5.781547869,42,11022,,,,,,,,,,,,,,,,,,,,,,,
,,43,13.74456972,43,5.969190785,43,326806,,,,,,,,,,,,,,,,,,,,,,,
,,44,13.86420262,44,6.021146695,44,118380,,,,,,,,,,,,,,,,,,,,,,,
,,45,14.06674154,45,6.109108228,45,235710,,,,,,,,,,,,,,,,,,,,,,,
,,46,14.30776907,46,6.213785158,46,350400,,,,,,,,,,,,,,,,,,,,,,,
,,47,14.40499522,47,6.256009938,47,167052,,,,,,,,,,,,,,,,,,,,,,,
,,48,14.49289465,48,6.294184174,48,165662,,,,,,,,,,,,,,,,,,,,,,,
,,49,14.8817212,49,6.4630494,49,935632,,,,,,,,,,,,,,,,,,,,,,,
,,50,14.99243144,50,6.511130243,50,340016,,,,,,,,,,,,,,,,,,,,,,,
,,51,15.02159124,51,6.523794185,51,95998,,,,,,,,,,,,,,,,,,,,,,,
